[17/12/2025, 08:00:58] 4.196.79.66 ~~ GET wolimp.com.br/.well-known/acme-challenge/index.php
[17/12/2025, 08:00:59] 4.196.79.66 ~~ GET wolimp.com.br/css/colors/blue/index.php
[17/12/2025, 08:00:59] 4.196.79.66 ~~ GET wolimp.com.br/security.php
[17/12/2025, 08:01:00] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/user/about.php
[17/12/2025, 08:01:01] 4.196.79.66 ~~ GET wolimp.com.br/wp-content/upgrade/about.php
[17/12/2025, 08:01:01] 4.196.79.66 ~~ GET wolimp.com.br/wp-content/radio.php
[17/12/2025, 08:01:02] 4.196.79.66 ~~ GET wolimp.com.br/wp-includes/fonts/index.php?p=
[17/12/2025, 08:01:03] 4.196.79.66 ~~ GET wolimp.com.br/.well-known/admin.php
[17/12/2025, 08:01:04] 4.196.79.66 ~~ GET wolimp.com.br/class.php
[17/12/2025, 08:01:05] 4.196.79.66 ~~ GET wolimp.com.br/bless5.php
[17/12/2025, 08:01:05] 4.196.79.66 ~~ GET wolimp.com.br/wp-includes/js/codemirror/index.php
[17/12/2025, 08:01:06] 4.196.79.66 ~~ GET wolimp.com.br/wp-includes/block-patterns/index.php
[17/12/2025, 08:01:07] 4.196.79.66 ~~ GET wolimp.com.br/lock360.php
[17/12/2025, 08:01:07] 4.196.79.66 ~~ GET wolimp.com.br/f35.php
[17/12/2025, 08:01:08] 4.196.79.66 ~~ GET wolimp.com.br/ioxi-o1.php
[17/12/2025, 08:01:09] 4.196.79.66 ~~ GET wolimp.com.br/ha.php
[17/12/2025, 08:01:09] 4.196.79.66 ~~ GET wolimp.com.br/gg.php
[17/12/2025, 08:01:10] 4.196.79.66 ~~ GET wolimp.com.br/ar.php
[17/12/2025, 08:01:11] 4.196.79.66 ~~ GET wolimp.com.br/xx.php
[17/12/2025, 08:01:12] 4.196.79.66 ~~ GET wolimp.com.br/gifclass4.php
[17/12/2025, 08:01:12] 4.196.79.66 ~~ GET wolimp.com.br/radio.php
[17/12/2025, 08:01:13] 4.196.79.66 ~~ GET wolimp.com.br/files.php
[17/12/2025, 08:01:14] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/css/colors/midnight/about.php
[17/12/2025, 08:01:14] 4.196.79.66 ~~ GET wolimp.com.br/nox.php
[17/12/2025, 08:01:15] 4.196.79.66 ~~ GET wolimp.com.br/file48.php
[17/12/2025, 08:01:16] 4.196.79.66 ~~ GET wolimp.com.br/info.php
[17/12/2025, 08:01:16] 4.196.79.66 ~~ GET wolimp.com.br/class9.php
[17/12/2025, 08:01:17] 4.196.79.66 ~~ GET wolimp.com.br/la.php
[17/12/2025, 08:01:18] 4.196.79.66 ~~ GET wolimp.com.br/bless11.php
[17/12/2025, 08:01:18] 4.196.79.66 ~~ GET wolimp.com.br/ac.php
[17/12/2025, 08:01:19] 4.196.79.66 ~~ GET wolimp.com.br/az.php
[17/12/2025, 08:01:20] 4.196.79.66 ~~ GET wolimp.com.br/xaz.php
